generator,detector,n_real,n_fake,acc_real,acc_fake,acc_overall,AP,AUC,brier,ECE
BigGan,UniversalFakeDetect,6000,6000,97.42,82.95,90.18,98.21,98.19,0.0723,0.0418
BigGan,NPR,6000,6000,85.97,84.12,85.04,88.74,91.28,0.1358,0.1256
BigGan,GenImage++ ResNet-50 baseline,6000,6000,98.47,0.42,49.44,49.5,51.38,0.5037,0.503
BigGan,GenImage++ CLIP baseline,6000,6000,96.48,9.6,53.04,64.26,67.97,0.4397,0.4333
BigGan,GenImage++ CLIP-LoRA (OMAT),6000,6000,94.82,99.7,97.26,99.55,99.7,0.023,0.0151
Glide,UniversalFakeDetect,6000,6000,97.67,27.4,62.53,84.26,85.55,0.3155,0.3004
Glide,NPR,6000,6000,86.2,94.33,90.27,93.11,95.15,0.0883,0.0837
Glide,GenImage++ ResNet-50 baseline,6000,6000,98.3,5.97,52.13,58.25,60.27,0.4706,0.4694
Glide,GenImage++ CLIP baseline,6000,6000,96.05,69.13,82.59,94.09,94.03,0.1448,0.1203
Glide,GenImage++ CLIP-LoRA (OMAT),6000,6000,94.87,99.87,97.37,99.67,99.82,0.0215,0.0152
flux,UniversalFakeDetect,6000,6000,96.85,7.0,51.92,59.12,61.37,0.4489,0.4394
flux,NPR,6000,6000,88.1,97.73,92.92,94.87,96.9,0.065,0.0604
flux,GenImage++ ResNet-50 baseline,6000,6000,98.9,54.88,76.89,87.01,86.2,0.2182,0.2124
flux,GenImage++ CLIP baseline,6000,6000,97.42,86.48,91.95,98.5,98.59,0.0608,0.0336
flux,GenImage++ CLIP-LoRA (OMAT),6000,6000,96.03,96.48,96.26,99.22,99.31,0.0301,0.02
sd3,UniversalFakeDetect,6000,6000,96.85,11.7,54.28,68.8,72.45,0.414,0.4058
sd3,NPR,6000,6000,88.1,90.08,89.09,92.06,94.37,0.0983,0.0908
sd3,GenImage++ ResNet-50 baseline,6000,6000,98.9,66.08,82.49,93.09,92.82,0.1617,0.1535
sd3,GenImage++ CLIP baseline,6000,6000,97.42,88.6,93.01,98.69,98.71,0.0541,0.0307
sd3,GenImage++ CLIP-LoRA (OMAT),6000,6000,96.03,98.27,97.15,99.57,99.65,0.0224,0.0148
sdxl,UniversalFakeDetect,18300,18300,96.8,38.52,67.66,85.61,85.39,0.2716,0.2455
sdxl,NPR,18301,18300,87.67,54.64,71.16,75.45,76.53,0.2744,0.2682
sdxl,GenImage++ ResNet-50 baseline,18301,18300,98.58,15.23,56.91,68.49,68.84,0.4189,0.4154
sdxl,GenImage++ CLIP baseline,18301,18300,97.38,76.98,87.18,97.05,97.03,0.1019,0.0762
sdxl,GenImage++ CLIP-LoRA (OMAT),18301,18300,94.68,99.17,96.93,99.13,99.38,0.025,0.012
