generator,direction,rank,copied_as,true_label,pred_score,original_path
sd3,fake_confidently_called_real,1,fake_confidently_called_real_01.png,1,0.0,/home/student/data/genimagepp/sd3/stable_diffusion_v_3_0/val/1_fake/Cocker Spaniels_1.png
sd3,fake_confidently_called_real,2,fake_confidently_called_real_02.png,1,0.0,/home/student/data/genimagepp/sd3/stable_diffusion_v_3_0/val/1_fake/Golden Retriever_2.png
sd3,fake_confidently_called_real,3,fake_confidently_called_real_03.png,1,0.0,/home/student/data/genimagepp/sd3/stable_diffusion_v_3_0/val/1_fake/Granny Smith_0.png
sd3,fake_confidently_called_real,4,fake_confidently_called_real_04.png,1,0.0,/home/student/data/genimagepp/sd3/stable_diffusion_v_3_0/val/1_fake/Griffon Bruxellois_2.png
sd3,fake_confidently_called_real,5,fake_confidently_called_real_05.png,1,0.0,/home/student/data/genimagepp/sd3/stable_diffusion_v_3_0/val/1_fake/Pekingese_2.png
sd3,fake_confidently_called_real,6,fake_confidently_called_real_06.png,1,0.0,/home/student/data/genimagepp/sd3/stable_diffusion_v_3_0/val/1_fake/Soft-coated Wheaten Terrier_0.png
sd3,real_confidently_called_fake,1,real_confidently_called_fake_01.JPEG,0,1.0,/home/student/Downloads/imagenet_ai_0419_biggan/train/nature/n01440764_8689.JPEG
sd3,real_confidently_called_fake,2,real_confidently_called_fake_02.JPEG,0,1.0,/home/student/Downloads/imagenet_ai_0419_biggan/train/nature/n01494475_376.JPEG
sd3,real_confidently_called_fake,3,real_confidently_called_fake_03.JPEG,0,1.0,/home/student/Downloads/imagenet_ai_0419_biggan/train/nature/n01514668_10737.JPEG
sd3,real_confidently_called_fake,4,real_confidently_called_fake_04.JPEG,0,1.0,/home/student/Downloads/imagenet_ai_0419_biggan/train/nature/n01514859_11857.JPEG
sd3,real_confidently_called_fake,5,real_confidently_called_fake_05.JPEG,0,1.0,/home/student/Downloads/imagenet_ai_0419_biggan/train/nature/n01514859_27784.JPEG
sd3,real_confidently_called_fake,6,real_confidently_called_fake_06.JPEG,0,1.0,/home/student/Downloads/imagenet_ai_0419_biggan/train/nature/n01514859_3795.JPEG
