generator,direction,rank,copied_as,true_label,pred_score,original_path
Glide,fake_confidently_called_real,1,fake_confidently_called_real_01.png,1,1.2732040204355144e-06,/home/student/Downloads/imagenet_glide/val/ai/GLIDE_1000_200_05_533_glide_00020.png
Glide,fake_confidently_called_real,2,fake_confidently_called_real_02.png,1,1.5327275377785554e-06,/home/student/Downloads/imagenet_glide/val/ai/GLIDE_1000_200_05_533_glide_00035.png
Glide,fake_confidently_called_real,3,fake_confidently_called_real_03.png,1,5.326672635419527e-06,/home/student/Downloads/imagenet_glide/val/ai/GLIDE_1000_200_05_533_glide_00074.png
Glide,fake_confidently_called_real,4,fake_confidently_called_real_04.png,1,6.508790647785645e-06,/home/student/Downloads/imagenet_glide/val/ai/GLIDE_1000_200_09_947_glide_00143.png
Glide,fake_confidently_called_real,5,fake_confidently_called_real_05.png,1,8.845798220136203e-06,/home/student/Downloads/imagenet_glide/val/ai/GLIDE_1000_200_09_992_glide_00143.png
Glide,fake_confidently_called_real,6,fake_confidently_called_real_06.png,1,1.2379189683997538e-05,/home/student/Downloads/imagenet_glide/val/ai/GLIDE_1000_200_00_083_glide_00020.png
Glide,real_confidently_called_fake,1,real_confidently_called_fake_01.JPEG,0,0.9996465444564819,/home/student/Downloads/imagenet_glide/val/nature/ILSVRC2012_val_00039304.JPEG
Glide,real_confidently_called_fake,2,real_confidently_called_fake_02.JPEG,0,0.9990044236183167,/home/student/Downloads/imagenet_glide/val/nature/ILSVRC2012_val_00022064.JPEG
Glide,real_confidently_called_fake,3,real_confidently_called_fake_03.JPEG,0,0.9984599351882935,/home/student/Downloads/imagenet_glide/val/nature/ILSVRC2012_val_00036833.JPEG
Glide,real_confidently_called_fake,4,real_confidently_called_fake_04.JPEG,0,0.9980146884918213,/home/student/Downloads/imagenet_glide/val/nature/ILSVRC2012_val_00037066.JPEG
Glide,real_confidently_called_fake,5,real_confidently_called_fake_05.JPEG,0,0.9975326061248779,/home/student/Downloads/imagenet_glide/val/nature/ILSVRC2012_val_00000063.JPEG
Glide,real_confidently_called_fake,6,real_confidently_called_fake_06.JPEG,0,0.9969191551208496,/home/student/Downloads/imagenet_glide/val/nature/ILSVRC2012_val_00037888.JPEG
